Blog	new	my	in	we	been	is	it	has	for	was	can	so	nbsp	not	one	that	and	s	on	of	or	your	there	with	an	as	at	you	all	will	what	more	are	t	be	by	from	this	out	have	i	about	but
Eschaton	0	0	0	0	0	2	2	0	2	0	1	0	0	0	1	0	1	1	0	1	0	0	2	0	0	0	0	0	0	1	1	0	0	2	1	0	0	0	1	0	2	1	2
PerezHilton	0	0	3	1	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	4	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Slashdot	1	3	8	0	3	0	2	2	1	7	0	0	0	0	1	7	11	2	2	11	1	0	0	2	3	3	2	0	2	0	0	4	2	1	0	2	1	4	3	0	5	2	0
Matt Cutts: Gadgets, Google, and SEO	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	2	0	2	2	1	0	1	0	0	0	0	1	2	0	2	2	0	0	0	0	0	2	1	0	0	1	0	0
How to Change the World	0	1	1	0	0	2	0	0	1	0	0	0	0	0	2	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUAW - The Unofficial Apple Weblog	0	6	1	0	0	4	5	1	9	0	2	0	6	0	1	1	16	1	7	6	2	4	1	2	1	2	2	3	0	0	0	0	3	1	2	0	1	3	1	1	7	1	1
Gothamist	0	0	0	2	0	0	0	0	0	1	0	0	4	0	0	0	1	2	3	2	0	0	0	0	0	2	0	0	1	0	0	2	0	3	0	0	1	2	0	0	0	0	0
Instapundit	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we make money not art	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0
PaulStamatiou.com - Tech News, Reviews and Guides	2	30	39	4	6	31	56	13	30	24	29	8	0	8	15	47	90	49	43	54	19	22	17	50	19	8	11	59	10	3	13	23	19	33	10	10	13	27	11	18	101	20	17
BuzzMachine	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	1	0	2	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Techdirt.	0	4	18	14	5	24	21	6	20	5	10	7	4	28	7	23	33	4	12	46	6	3	6	6	4	15	5	21	7	7	1	3	6	1	11	3	3	13	3	23	18	5	6
Joi Ito's Web	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Joho the Blog	0	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	1	2	0	0	0	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	1
ongoing by Tim Bray	0	0	1	0	0	0	0	0	0	3	0	0	0	2	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	2	0	2
NewsBusters - Exposing Liberal Media Bias	0	0	3	1	0	2	0	0	1	0	1	1	2	0	0	4	2	0	0	7	0	0	0	1	2	3	1	2	1	1	0	2	2	0	1	0	3	0	0	4	0	0	0
SpikedHumor - Today's Videos and Pictures	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
The Official Google Blog	0	0	7	9	0	2	3	0	9	0	2	4	0	1	2	9	29	3	6	18	1	1	0	3	3	2	3	3	2	1	2	1	4	1	1	2	5	1	2	2	0	2	2
kottke.org	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1	1	3	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1
456 Berea Street	0	0	4	1	1	0	0	1	1	0	1	0	0	0	0	5	3	1	2	2	1	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1
Signal vs. Noise	0	0	1	4	0	0	2	0	2	1	0	2	0	0	0	1	6	3	2	4	1	6	0	2	0	3	4	1	3	1	1	0	1	0	1	0	0	0	2	4	0	0	1
Joel on Software	2	3	22	2	1	27	26	2	14	15	14	9	3	1	5	48	35	11	17	42	5	6	5	6	7	12	12	34	4	4	6	4	6	11	15	4	4	17	4	9	22	8	4
Boing Boing	0	0	2	0	0	1	0	1	0	2	0	0	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
The Full Feed from HuffingtonPost.com	1	0	3	1	0	0	3	0	0	0	1	0	0	0	0	0	3	2	4	0	1	0	0	0	1	1	0	1	0	1	0	2	0	0	1	1	1	2	0	0	0	0	0
flagrantdisregard	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pharyngula	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Steve Pavlina's Personal Development Blog	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1	3	0	0
WIL WHEATON dot NET	0	5	13	0	2	3	12	2	6	4	2	2	0	1	1	7	24	12	7	25	3	1	0	8	3	3	3	11	4	1	2	1	0	4	1	3	6	5	1	1	15	2	0
Online Marketing Report	2	3	1	0	0	0	6	0	2	0	2	3	0	4	1	3	4	4	5	5	0	1	1	2	1	3	0	7	0	0	1	2	0	0	0	1	0	1	0	1	7	2	1
Creating Passionate Users	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	3	2	0	0	0	1	1	0	0	0	1	0
Bloggers Blog	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Scobleizer	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	6	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
Joystiq	0	0	0	1	3	0	2	1	4	0	1	1	4	0	0	0	5	2	3	5	0	0	1	0	0	1	0	3	0	0	0	1	2	0	1	0	1	3	2	3	0	0	0
Derek Powazek	0	0	1	0	0	0	1	0	1	0	0	1	0	0	3	1	0	2	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	2	1	0	0	1	0	0	3	0	1
Download Squad	0	0	0	2	3	0	3	0	2	0	1	0	4	0	0	1	10	1	4	3	0	0	0	1	0	0	1	2	0	2	0	2	2	0	2	0	1	1	1	2	1	0	1
Jeremy Zawodny's blog	3	2	1	1	0	3	2	0	0	0	1	2	0	2	0	5	6	3	1	3	1	0	1	1	0	0	1	2	0	0	0	2	0	1	0	0	1	1	1	3	9	0	2
@ProBlogger	0	4	1	0	0	1	0	1	0	0	3	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0
Captain's Quarters	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Crooks and Liars	0	0	2	0	1	1	4	1	1	1	1	0	0	1	0	4	6	5	8	5	2	0	1	2	0	0	0	3	1	0	1	1	0	1	2	0	1	2	0	1	4	0	1
plasticbag.org	0	0	1	1	0	0	2	0	0	0	0	0	0	0	1	1	2	0	4	1	0	0	0	0	0	1	0	0	0	0	0	3	2	1	0	1	0	0	0	1	3	3	1
ThinkProgress	1	0	3	0	0	0	2	0	2	0	0	0	0	1	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1
blog maverick	0	3	1	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	1	2	1	0
gapingvoid: "cartoons drawn on the back of business cards"	0	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
Topix Blog	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	3	0	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Viral Garden	1	5	16	2	1	7	7	0	10	8	3	4	0	2	0	18	24	6	6	10	2	4	3	4	7	1	6	6	2	2	4	1	8	12	5	3	6	15	2	2	40	3	5
43 Folders	1	17	21	5	2	24	28	7	19	2	8	8	0	8	3	29	38	23	13	32	4	2	4	8	8	11	9	39	10	1	8	12	10	4	3	8	4	18	4	7	48	10	7
Search Engine Watch - Latest	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	2	4	1	3	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Autoblog	1	0	9	1	0	2	2	3	1	0	0	0	4	0	0	3	5	0	4	8	0	0	0	2	2	0	1	0	1	4	0	0	1	0	0	0	1	2	0	0	0	0	1
Daily Kos	0	0	5	2	2	4	4	0	4	2	3	0	0	2	0	4	16	4	1	8	1	0	0	3	1	1	4	1	1	0	2	4	0	1	3	3	1	5	0	2	4	2	1
Google Blogoscoped	2	0	2	6	0	1	3	0	0	0	1	0	0	0	6	3	1	3	0	4	0	0	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	1	0	1	3	3
Deadspin	0	0	1	3	0	3	0	0	0	1	0	0	0	1	0	2	3	3	1	0	0	0	2	0	1	2	0	0	1	0	1	1	0	1	1	0	1	0	0	1	0	1	1
The Dish	1	0	2	0	0	0	2	0	1	0	0	0	0	0	0	2	1	1	0	1	1	0	0	0	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Go Fug Yourself	0	1	1	0	0	2	0	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0
O'Reilly Radar	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Little Green Footballs	3	0	2	0	2	1	1	3	2	0	0	1	0	4	0	5	2	2	3	7	2	0	0	3	0	1	1	0	1	0	0	2	1	0	5	0	0	1	0	2	0	0	1
MetaFilter	1	0	4	1	0	0	1	0	1	0	0	0	0	0	0	0	4	1	3	4	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
ReadWrite	3	0	7	0	0	11	1	1	7	2	1	0	3	2	3	5	8	3	8	7	2	0	1	1	0	3	0	0	1	4	0	3	0	0	2	1	4	0	0	0	0	1	0
Lifehack	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lifehacker	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	2	3	3	0	1	0	0	1	6	1	0	0	1	1	0	0	0	0	2	0	1	0	0	0
Google Operating System	0	0	2	0	0	3	0	1	1	1	1	2	3	0	0	4	5	4	0	4	0	0	0	1	2	0	0	4	0	0	0	2	0	1	0	1	1	1	0	0	0	1	0
ShoeMoney	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	2	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	3	0	1
Kotaku	0	0	1	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0
Mashable	0	0	0	0	0	2	2	1	2	0	0	0	0	1	0	0	5	1	0	1	2	2	1	3	1	0	0	0	2	0	0	2	0	0	0	0	1	0	0	0	0	1	1
TechCrunch	9	0	4	5	1	6	2	3	7	1	0	0	0	4	1	9	3	8	5	12	1	0	1	5	0	0	0	2	0	9	1	1	3	0	9	0	1	4	1	0	0	0	2
Gizmodo	0	0	1	0	0	0	0	0	0	3	0	0	4	0	2	0	1	0	0	2	0	0	0	0	0	1	1	3	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0
Neil Gaiman's Journal	0	7	18	3	2	5	28	1	8	17	1	1	8	4	2	10	66	9	12	31	1	0	4	9	4	6	9	2	8	0	0	1	3	3	3	2	8	3	3	3	31	15	3
Quick Online Tips	0	0	1	0	0	0	1	0	3	0	2	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Oilman	2	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0
Gawker	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Michelle Malkin	0	0	1	0	0	2	2	2	0	0	0	0	0	0	0	2	1	3	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
Wired Top Stories	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
Seth Godin's Blog on marketing, tribes and respect	0	0	2	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
